A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A3,A4,A41,A5,A51,A512,B1,B11B1,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,C1,C2,C22A,C22B,C22C,C3,D1,D1O,D2,D2O,D3,D3O,E1,E11A,E11B,E11C,E21,E22,E23,E3,E32A,E32AO,E32BA,E32BAO,E32BB,E32BBO,E32BC,E32BCO,F1,F11,F21,F22,F23,F3,F321,F322,F323,G1,G2,G3,G4,G5,G6,G7A,G7B,G8,G81,G9,S1,code,w
2,1,1,4, , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,7,1,23,4,2,1, , , ,231114,23,1.248407558
1, , , , , , , , , , , , ,1,1,2,1,1, ,2, ,4, ,2,4,3,2, ,5,2,3,3,3, ,5, , , , , , ,3, ,1, ,1, ,2, , , ,1,,,2,1, ,1, ,1, ,1, ,1,5,, , ,2,9,5,8,1,2,6,2,22,1,2,,1,4,1,230392,23,1.248407558
1, , , , , , , , , , , , ,5,1,2,2, , ,2, ,2, ,1,2,2,4, ,5,2,2,2,5, ,6, , , , , , ,1, ,2, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,1,6,2,3,2,8,1,2,4,6,15,9,3,2,1,1,2,231456,23,1.209977275
2,1,3, , , , , ,3,4,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,9,,,,,,2, ,4,230012,23,1.248407558
2,1,3, , , , , ,3,4,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,2,,,3,,2, ,4,230021,23,1.248407558
2,1,1,3, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,7,3,,3,3,,2, ,4,230033,23,1.248407558
2,1,3, , , , , ,3,4,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,3,12,4,2,1,1,2,4,230040,23,1.248407558
2,1,3, , , , , ,3,,2,7,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,7,3,,3,3,1,2, ,4,230041,23,1.248407558
2,1,3, , , , , ,3,4,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,22,,4,2,1,1,4,230054,23,1.248407558
2,1,3, , , , , ,3,4,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,3,14,5,2,2,1,1,4,230061,23,1.248407558
2,1,3, , , , , ,3,4,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,,3,5,,1,,4,230070,23,1.248407558
2,1,3, , , , , ,3,4,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,7,3,23,6,2,3,1,1,4,230076,23,1.248407558
2,1,3, , , , , ,3,4,2,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5,5,15,8,2,3,1,1,4,230083,23,1.248407558
2,1,3, , , , , ,3,4,2,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,,5,5,15,5,2,3,1,1,4,230087,23,1.248407558
2,1,3, , , , , ,3,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5,2,22,1,2,2,1,1,4,230088,23,1.248407558
